"","text","speaker","season","episode","scene","utterance"
"244","I just thought he was nice, y'know?","Monica Geller",1,1,13,8
"245","I can't believe you didn't know it was a line!","Joey Tribbiani",1,1,13,9
"246","(Monica pushes him off of the sofa as Rachel enters with a shopping bag.)","Scene Directions",1,1,13,10
"247","Guess what?","Rachel Green",1,1,13,11
"248","You got a job?","Ross Geller",1,1,13,12
"249","Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.","Rachel Green",1,1,13,13
"250","And yet you're surprisingly upbeat.","Chandler Bing",1,1,13,14
"251","You would be too if you found John and David boots on sale, fifty percent off!","Rachel Green",1,1,13,15
"252","Oh, how well you know me...","Chandler Bing",1,1,13,16
"253","They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!","Rachel Green",1,1,13,17
"254","How'd you pay for them?","Monica Geller",1,1,13,18
"255","Uh, credit card.","Rachel Green",1,1,13,19
"256","And who pays for that?","Monica Geller",1,1,13,20
"257","Um... my... father.","Rachel Green",1,1,13,21
"258","Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want.","Rachel Green",1,1,14,1
"259","C'mon, you can't live off your parents your whole life.","Monica Geller",1,1,14,2
"260","I know that. That's why I was getting married.","Rachel Green",1,1,14,3
"261","Give her a break, it's hard being on your own for the first time.","Phoebe Buffay",1,1,14,4
"262","Thank you.","Rachel Green",1,1,14,5
"263","You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel.","Phoebe Buffay",1,1,14,6
"264","(Pause)","Scene Directions",1,1,14,7
"265","The word you're looking for is 'Anyway'...","Ross Geller",1,1,14,8
"266","All right, you ready?","Monica Geller",1,1,14,9
"267","No. No, no, I'm not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can't do this!","Rachel Green",1,1,14,10
"268","You can, I know you can!","Monica Geller",1,1,14,11
"269","I don't think so.","Rachel Green",1,1,14,12
"270","Come on, you made coffee! You can do anything!","Ross Geller",1,1,14,13
"271","C'mon, cut. Cut, cut, cut,...","Ross Geller",1,1,14,14
"272","Cut, cut, cut, cut, cut, cut, cut...","#ALL#",1,1,14,15
"273","Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...","Rachel Green",1,1,14,16
"274","Rachel! That was a library card!","Monica Geller",1,1,14,17
"275","Cut, cut, cut, cut, cut, cut, cut..","#ALL#",1,1,14,18
"276","Y'know, if you listen closely, you can hear a thousand retailers scream.","Chandler Bing",1,1,14,19
"277","(She finishes cutting them up and they all cheer.)","Scene Directions",1,1,14,20
"278","Welcome to the real world! It sucks. You're gonna love it!","Monica Geller",1,1,14,21
"279","[Time Lapse, Rachel and Ross are watching a TV channel finishes it's broadcast day by playing the national anthem.]","Scene Directions",1,1,14,22
"280","Well, that's it You gonna crash on the couch?","Monica Geller",1,1,14,23
"281","No. No, I gotta go home sometime.","Ross Geller",1,1,14,24
"282","You be okay?","Monica Geller",1,1,14,25
"283","Yeah.","Ross Geller",1,1,14,26
"284","Hey Mon, look what I just found on the floor. What?","Rachel Green",1,1,14,27
"285","That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody.","Monica Geller",1,1,14,28
"286","Goodnight.",NA,1,1,14,29
"287","(Monica stomps on Paul's watch and goes into her room.)","Scene Directions",1,1,14,30
"288","Mmm. Oh, no-","Ross Geller",1,1,14,31
"289","Sorry-","Rachel Green",1,1,14,32
"290","No no no, go-","Ross Geller",1,1,14,33
"291","No, you have it, really, I don't want it-","Rachel Green",1,1,14,34
"292","Split it?","Ross Geller",1,1,14,35
"293","Okay.","Rachel Green",1,1,14,36
"294","Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you.","Ross Geller",1,1,14,37
"295","I knew.","Rachel Green",1,1,14,38
"296","You did! Oh.... I always figured you just thought I was Monica's geeky older brother.","Ross Geller",1,1,14,39
"297","I did.","Rachel Green",1,1,14,40
"298","Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?","Ross Geller",1,1,14,41
"299","Yeah, maybe...","Rachel Green",1,1,14,42
"300","Okay... okay, maybe I will...","Ross Geller",1,1,14,43
"301","Goodnight.","Rachel Green",1,1,14,44
"302","Goodnight.","Ross Geller",1,1,14,45
"303","(Rachel goes into her room and Monica enters the living room as Ross is leaving.)","Scene Directions",1,1,14,46
"304","See ya.... Waitwait, what's with you?","Monica Geller",1,1,14,47
"305","I just grabbed a spoon.","Ross Geller",1,1,14,48
"306","I can't believe what I'm hearing here.","Joey Tribbiani",1,1,15,1
"307","I can't believe what I'm hearing here...","Phoebe Buffay",1,1,15,2
"308","What? I-I said you had a-","Monica Geller",1,1,15,3
"309","What I said you had...","Phoebe Buffay",1,1,15,4
"310","Would you stop?","Monica Geller",1,1,15,5
"311","Oh, was I doing it again?","Phoebe Buffay",1,1,15,6
"312","Yes!","#ALL#",1,1,15,7
"313","I said that you had a nice butt, it's just not a great butt.","Monica Geller",1,1,15,8
"314","Oh, you wouldn't know a great butt if it came up and bit ya.","Joey Tribbiani",1,1,15,9
"315","There's an image.","Ross Geller",1,1,15,10
"316","Would anybody like more coffee?","Rachel Green",1,1,15,11
"317","Did you make it, or are you just serving it?","Chandler Bing",1,1,15,12
"318","I'm just serving it.","Rachel Green",1,1,15,13
"319","Yeah. Yeah, I'll have a cup of coffee.","#ALL#",1,1,15,14
"320","Kids, new dream... I'm in Las Vegas.","Chandler Bing",1,1,15,15
"321","Ahh, miss? More coffee?","Customer",1,1,15,16
"322","Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas.","Rachel Green",1,1,15,17
"323","Okay, so, I'm in Las Vegas... I'm Liza Minelli-","Chandler Bing",1,1,15,18
"324","What you guys don't understand is, for us, kissing is as important as any part of it.","Monica Geller",1,2,1,1
"325","Yeah, right!.......Y'serious?","Joey Tribbiani",1,2,1,2
"326","Oh, yeah!","Phoebe Buffay",1,2,1,3
"327","Everything you need to know is in that first kiss.","Rachel Green",1,2,1,4
"328","Absolutely.","Monica Geller",1,2,1,5
"329","Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.","Chandler Bing",1,2,1,6
"330","Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.","Ross Geller",1,2,1,7
"331","The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.","Chandler Bing",1,2,1,8
